" Feature Name"|"Antarctica ID"|"Class"|"Latitude"|"Longitude"|"Elevation (m)"|"Decision Year"|"Date Last Modified"|
"Crevasse Valley Glacier"|"3309"|"Valley"|"764600S"|"1453000W"|""|"01-JAN-1947"|""
"Taylor Valley"|"15037"|"Valley"|"773907S"|"1625630E"|""|"01-JAN-1947"|""
"McLeod Hill"|"9738"|"Summit"|"680500S"|"0663000W"|"1790"|"01-JAN-1955"|""
"Mill Stream Glacier"|"10016"|"Stream"|"852000S"|"1710000E"|""|"01-JAN-1966"|""
"Potaka Inlet"|"11996"|"Stream"|"720200S"|"0992300W"|""|"01-JAN-1960"|"28-Jan-2004"
"Rutford Ice Stream"|"13077"|"Stream"|"790000S"|"0810000W"|""|"01-JAN-1966"|""
"Glacier Ridge"|"17731"|"Ridge"|"773538S"|"1671635E"|"2200"|"01-JAN-2000"|""
"Burton Island Glacier"|"2199"|"Island"|"664900S"|"0902000E"|""|"01-JAN-1955"|""
"Pyrox Island"|"12227"|"Island"|"681200S"|"0664100W"|""|"01-JAN-1963"|""
"Aagaard Glacier"|"2"|"Glacier"|"664600S"|"0643100W"|""|"31-DEC-1952"|"30-Mar-2010"
"Aaron Glacier"|"19050"|"Glacier"|"850800S"|"0904000W"|""|"31-DEC-1962"|"30-Mar-2010"
"Abbotsmith Glacier"|"9"|"Glacier"|"530600S"|"0732400E"|""|"01-JAN-1957"|""
"Academy Glacier"|"36"|"Glacier"|"841500S"|"0610000W"|""|"01-JAN-1968"|""
"Acosta Glacier"|"18334"|"Glacier"|"715800S"|"1005500W"|""|"01-JAN-2003"|""
"Adams Glacier"|"66"|"Glacier"|"665000S"|"1094000E"|""|"01-JAN-1960"|""
"Adams Glacier"|"67"|"Glacier"|"780700S"|"1633800E"|""|"01-JAN-1955"|""
"Aeronaut Glacier"|"110"|"Glacier"|"731600S"|"1633600E"|""|"01-JAN-1964"|""
"Ahern Glacier"|"141"|"Glacier"|"814700S"|"1591000E"|""|"01-JAN-1966"|""
"Ahlmann Glacier"|"142"|"Glacier"|"675200S"|"0654500W"|""|"01-JAN-1952"|""
"Ahrnsbrak Glacier"|"148"|"Glacier"|"794800S"|"0821800W"|""|"01-JAN-1966"|""
"Aiken Glacier"|"17468"|"Glacier"|"773816S"|"1632420E"|""|"01-JAN-1998"|""
"Airy Glacier"|"157"|"Glacier"|"691300S"|"0662000W"|""|"01-JAN-1962"|""
"Aitkenhead Glacier"|"160"|"Glacier"|"635700S"|"0584400W"|""|"01-JAN-1964"|""
"Akebono Glacier"|"166"|"Glacier"|"680700S"|"0425300E"|""|"01-JAN-1964"|""
"Albanus Glacier"|"183"|"Glacier"|"855200S"|"1510000W"|""|"01-JAN-1947"|""
"Alberich Glacier"|"191"|"Glacier"|"773550S"|"1613734E"|""|"01-JAN-1976"|""
"Alberts Glacier"|"199"|"Glacier"|"665200S"|"0645300W"|""|""|""
"Albone Glacier"|"201"|"Glacier"|"641300S"|"0594200W"|""|"01-JAN-1964"|""
"Albrecht Penck Glacier"|"204"|"Glacier"|"764000S"|"1622000E"|""|"01-JAN-1949"|""
"Algie Glacier"|"265"|"Glacier"|"820800S"|"1620500E"|""|"01-JAN-1965"|""
"Alice Glacier"|"270"|"Glacier"|"835800S"|"1700000E"|""|"01-JAN-1962"|""
"Alley Glacier"|"17983"|"Glacier"|"795800S"|"1580500E"|""|"01-JAN-2000"|""
"Allison Glacier"|"305"|"Glacier"|"781600S"|"1615500E"|""|"01-JAN-1963"|""
"Alt Glacier"|"335"|"Glacier"|"710600S"|"1623100E"|""|"01-JAN-1964"|""
"Altarduken Glacier"|"331"|"Glacier"|"713900S"|"0112600E"|""|"01-JAN-1970"|""
"Alvarez Glacier"|"337"|"Glacier"|"705300S"|"1622000E"|""|"01-JAN-1964"|""
"Alyabiev Glacier"|"18799"|"Glacier"|"714200S"|"0724000W"|""|"01-JAN-2006"|""
"Ambergris Glacier"|"346"|"Glacier"|"654300S"|"0623700W"|""|""|""
"Amos Glacier"|"363"|"Glacier"|"774911S"|"1633914E"|""|"01-JAN-1992"|""
"Amphitheatre Glacier"|"17054"|"Glacier"|"781700S"|"1630400E"|""|"01-JAN-1995"|"15-Jun-2008"
"Amundsen Glacier"|"376"|"Glacier"|"853500S"|"1590000W"|""|"01-JAN-1947"|""
"Anandakrishnan Glacier"|"18336"|"Glacier"|"753200S"|"1400500W"|""|"01-JAN-2003"|""
"Anderson Glacier"|"406"|"Glacier"|"662400S"|"0635500W"|""|"01-JAN-1952"|""
"Anderton Glacier"|"422"|"Glacier"|"744100S"|"1622200E"|""|"01-JAN-1968"|""
